country,year,num,iso_alpha
India,01-6-2019,1,IND
India,01-7-2019,1,IND
India,01-8-2019,1,IND
India,01-9-2019,0,IND
India,01-10-2019,0,IND
India,01-11-2019,2,IND
India,01-12-2019,1,IND
Ireland,01-1-2019,1,IRL
Ireland,01-2-2019,1,IRL
Ireland,01-3-2019,1,IRL
Ireland,01-4-2019,1,IRL
Ireland,01-5-2019,4,IRL
Ireland,01-6-2019,2,IRL
Ireland,01-7-2019,3,IRL
Ireland,01-8-2019,2,IRL
Ireland,01-9-2019,2,IRL
Ireland,01-10-2019,1,IRL
Ireland,01-11-2019,3,IRL
Ireland,01-12-2019,1,IRL
"Iran, Islamic Republic of",01-1-2019,0,IRN
"Iran, Islamic Republic of",01-2-2019,1,IRN
"Iran, Islamic Republic of",01-3-2019,0,IRN
"Iran, Islamic Republic of",01-4-2019,1,IRN
"Iran, Islamic Republic of",01-5-2019,0,IRN
"Iran, Islamic Republic of",01-6-2019,0,IRN
"Iran, Islamic Republic of",01-7-2019,0,IRN
"Iran, Islamic Republic of",01-8-2019,0,IRN
"Iran, Islamic Republic of",01-9-2019,0,IRN
"Iran, Islamic Republic of",01-10-2019,0,IRN
"Iran, Islamic Republic of",01-11-2019,0,IRN
"Iran, Islamic Republic of",01-12-2019,0,IRN
Iceland,01-1-2019,0,ISL
Iceland,01-2-2019,0,ISL
Iceland,01-3-2019,0,ISL
Iceland,01-4-2019,0,ISL
Iceland,01-5-2019,0,ISL
Iceland,01-6-2019,1,ISL
Iceland,01-7-2019,0,ISL
Iceland,01-8-2019,0,ISL
Iceland,01-9-2019,0,ISL
Iceland,01-10-2019,0,ISL
Iceland,01-11-2019,0,ISL
Iceland,01-12-2019,0,ISL
Israel,01-1-2019,6,ISR
Israel,01-2-2019,5,ISR
Israel,01-3-2019,5,ISR
Israel,01-4-2019,7,ISR
Israel,01-5-2019,8,ISR
Israel,01-6-2019,6,ISR
Israel,01-7-2019,5,ISR
Israel,01-8-2019,3,ISR
Israel,01-9-2019,1,ISR
Israel,01-10-2019,2,ISR
Israel,01-11-2019,7,ISR
Israel,01-12-2019,6,ISR
Italy,01-1-2019,18,ITA
Italy,01-2-2019,13,ITA
Italy,01-3-2019,16,ITA
Italy,01-4-2019,20,ITA
Italy,01-5-2019,17,ITA
Italy,01-6-2019,18,ITA
Italy,01-7-2019,12,ITA
Italy,01-8-2019,12,ITA
Italy,01-9-2019,12,ITA
Italy,01-10-2019,11,ITA
Italy,01-11-2019,7,ITA
Italy,01-12-2019,11,ITA
Jordan,01-1-2019,2,JOR
Jordan,01-2-2019,1,JOR
Jordan,01-3-2019,0,JOR
Jordan,01-4-2019,0,JOR
Jordan,01-5-2019,0,JOR
Jordan,01-6-2019,1,JOR
Jordan,01-7-2019,0,JOR
Jordan,01-8-2019,0,JOR
Jordan,01-9-2019,0,JOR
Jordan,01-10-2019,0,JOR
Jordan,01-11-2019,0,JOR
Jordan,01-12-2019,0,JOR
Japan,01-1-2019,10,JPN
Japan,01-2-2019,5,JPN
Japan,01-3-2019,14,JPN
Japan,01-4-2019,8,JPN
Japan,01-5-2019,14,JPN
Japan,01-6-2019,11,JPN
Japan,01-7-2019,8,JPN
Japan,01-8-2019,2,JPN
Japan,01-9-2019,9,JPN
Japan,01-10-2019,7,JPN
Japan,01-11-2019,8,JPN
Japan,01-12-2019,7,JPN
Kenya,01-1-2019,0,KEN
Kenya,01-2-2019,0,KEN
Kenya,01-3-2019,0,KEN
Kenya,01-4-2019,0,KEN
Kenya,01-5-2019,0,KEN
Kenya,01-6-2019,0,KEN
Kenya,01-7-2019,1,KEN
Kenya,01-8-2019,0,KEN
Kenya,01-9-2019,1,KEN
Kenya,01-10-2019,0,KEN
Kenya,01-11-2019,0,KEN
Kenya,01-12-2019,0,KEN
"Korea, Republic of",01-1-2019,11,KOR
"Korea, Republic of",01-2-2019,11,KOR
"Korea, Republic of",01-3-2019,14,KOR
"Korea, Republic of",01-4-2019,11,KOR
"Korea, Republic of",01-5-2019,17,KOR
"Korea, Republic of",01-6-2019,15,KOR
"Korea, Republic of",01-7-2019,14,KOR
"Korea, Republic of",01-8-2019,8,KOR
"Korea, Republic of",01-9-2019,12,KOR
"Korea, Republic of",01-10-2019,2,KOR
"Korea, Republic of",01-11-2019,10,KOR
"Korea, Republic of",01-12-2019,9,KOR
Lebanon,01-1-2019,1,LBN
Lebanon,01-2-2019,1,LBN
Lebanon,01-3-2019,0,LBN
Lebanon,01-4-2019,0,LBN
Lebanon,01-5-2019,0,LBN
Lebanon,01-6-2019,0,LBN
Lebanon,01-7-2019,0,LBN
Lebanon,01-8-2019,1,LBN
Lebanon,01-9-2019,0,LBN
Lebanon,01-10-2019,0,LBN
Lebanon,01-11-2019,0,LBN
Lebanon,01-12-2019,0,LBN
Lithuania,01-1-2019,2,LTU
Lithuania,01-2-2019,0,LTU
Lithuania,01-3-2019,1,LTU
Lithuania,01-4-2019,1,LTU
Lithuania,01-5-2019,0,LTU
Lithuania,01-6-2019,1,LTU
Lithuania,01-7-2019,0,LTU
Lithuania,01-8-2019,0,LTU
Lithuania,01-9-2019,0,LTU
Lithuania,01-10-2019,0,LTU
Lithuania,01-11-2019,0,LTU
Lithuania,01-12-2019,0,LTU
Latvia,01-1-2019,0,LVA
Latvia,01-2-2019,0,LVA
Latvia,01-3-2019,1,LVA
Latvia,01-4-2019,0,LVA
Latvia,01-5-2019,0,LVA
Latvia,01-6-2019,0,LVA
Latvia,01-7-2019,0,LVA
Latvia,01-8-2019,0,LVA
Latvia,01-9-2019,0,LVA
Latvia,01-10-2019,0,LVA
Latvia,01-11-2019,2,LVA
Latvia,01-12-2019,0,LVA
"Moldova, Republic of",01-1-2019,0,MDA
"Moldova, Republic of",01-2-2019,0,MDA
"Moldova, Republic of",01-3-2019,0,MDA
"Moldova, Republic of",01-4-2019,0,MDA
"Moldova, Republic of",01-5-2019,0,MDA
"Moldova, Republic of",01-6-2019,1,MDA
"Moldova, Republic of",01-7-2019,0,MDA
"Moldova, Republic of",01-8-2019,0,MDA
"Moldova, Republic of",01-9-2019,0,MDA
"Moldova, Republic of",01-10-2019,0,MDA
"Moldova, Republic of",01-11-2019,0,MDA
"Moldova, Republic of",01-12-2019,0,MDA
Mexico,01-1-2019,1,MEX
Mexico,01-2-2019,1,MEX
Mexico,01-3-2019,1,MEX
